詞	頻次	碼（各式，短→長）
響應	4540	gqbryw gqegbryw gqegbryyiw
演示	4538	wqvim wquuvim
的錢	4532	jayfq jayfvxq jbayfvxq
膨脹	4531	dfedfk dfovedfik
下雨	4531	fmii
提名	4531	kbyao kbfyao
設想	4530	ioxtdw ionxtdw
內線	4530	uygmk uygmjbk
最後一次	4529	bnxjxiisy bnexjxiisy bnexjygxiisy
想把	4529	tdwkdl
想象力	4529	tdwsokcj tdwsojkcj
熱血	4527	fvmjmi fvfamjmi
蒐集	4527	hjgyit hjotgyift
搜集	4527	kfxyit kfftxyift
有三個	4527	xdiiiyo xdiiiyoto
擴散	4526	krvhdx krhuvhdx
成年	4526	rqycj rcxqycj
復發	4525	jyxax jyybxax jyybxajqsx
藥品	4524	hjtooo hjbgtooo
跳舞	4524	otkymh otljkymah
光是	4522	wjlby wjlbfy
委託	4521	jtjiof jtljiojf
枯燥	4521	ttovyt ttovyoot
這種事情	4520	izjtfiojmfd izjtjbfioejmfd iozjtjbfioejmfd
發熱	4519	axfvm axfvfam ajqsxfvfam
完畢	4518	qulbhh quijlbhh
巧克力	4516	istolcj istojlcj
也很好	4516	pljkli pljyekljpi
寬鬆	4516	quqfig quhdqfigeg
磁場	4515	jogfbj jovggfbsj
魯迅	4515	sobztz sotmbztz
對焦	4512	nayim nayifm nvveayifm
帶走	4512	xhmfty xhlumfty
非常不錯	4511	jeewumjqyfb jeewuomjqyfvhb
開着	4511	pphvei pphvejdi
證實	4509	iovqv ioajvqv ioajvquotv
也行	4509	pljj pljyij
約翰	4508	gmatbi gmatbtyi
顆粒	4507	btvvtv btjdvvtiv
過敏	4507	ozyox ozyoix ouozyoix
陽臺	4507	pbjfof pbsjfougf
三觀	4506	iiihol iiihooyl
高質量	4506	ioortvbbf iouortrtvbbf
主演	4506	qewqv qewquuv
傳達	4506	ybafvz ybgafvfz
這麼個	4505	izrgyo iozrttgyoto
健身房	4505	yezjnjris yehzjnejris
彩蛋	4504	wtefyg wtefyog
打開了	4503	kjpphp
值得關注	4503	ytijyapphwqe ytueijyappgghwqe ytueijybappgghwqe
本作	4501	tjiyki tjriyki
只能在	4500	ovgcxf ovgdccxf
問你	4500	ppoym ppoysm
失敗了	4499	jiydvxp
終身	4497	gmijnj gmxijnej
碼字	4497	jomqui joshmqupi
一口氣	4496	ioaqt ioaqvt
交叉	4494	ivxxq
早年	4492	btycj
理科	4492	ebfjtt ebfjtit
控制的	4491	kqijinja kquvijimnja kquvijimnjba
住房	4491	yqeris
短短	4489	ykvykv ykovykov
縮小	4488	gmbm gmqubm
這裏就	4488	izikiq iozibfjkiomxq
但是他們	4486	ybibyylypp ybibfyyplypp
登場	4485	ajvfbj ajqovfbsj
分數線	4485	vpbqxgmk vpbqljxgmjbk
不能用	4484	jqgcuh jqgdccuh
不確定性	4484	jqjofquymjf jqjouyfqufymjf
打摺	4484	kjkjb kjkjijb
打折	4484	kjkrt
懷孕	4483	mikppi mimkkppi
改了	4481	zxp
打得	4480	kjjya kjjyba
都一樣	4479	fpitk fjbpitveqk
他們家	4479	ylyppqk yplyppqujk
復古	4478	jyxto jyybxto
古老	4478	tofjc
我不會	4477	jkqjqab jkxqjqavb
顯示器	4476	bgvimooo bggmvimookqo
講座	4476	iofryf iohufryyf
擔保	4476	ksoyot ksrvoyot
推崇	4476	kyfwqm kyifwquim
光環	4476	wjlemk wjlemiok
現實世界	4475	edlqvhlotn edjlqvhlotvn edjlquotvhlotvn
失業	4475	jiynvr jiynvvhr
非常非常	4474	jeewumjeewum jeewuomjeewuom
常說	4474	wumiol wuomiol wuomiovol
教會	4473	fjxab fjpxab fjpxavb
便於	4473	ybxisq ybxisaq
鑽石	4473	yfvjo yfvjvjo
發佈了	4472	axyxmp ajqsxyxmp
去過	4472	fgoz fgouoz
總監	4472	gmwcki gmjowckami
愛的	4471	wuxja wuwxja wuwxjba
有這麼	4471	xdizrg xdiozrttg
他又	4471	ylx yplx
不准	4470	jqiyf jqiyif
不準	4470	jqwyt jqwyift
最主要的	4469	bnxqeijja bnexqeijja bnexqeihljjba
給了我	4469	gmopjkq gmaopjkq gmaopjkxq
一首歌	4469	ivjiioy ivjdiioojy
東東	4469	tbtb
公寓	4468	vgqug vgqubug
王菲	4467	ehee
這樣就	4467	iztkiq ioztveqkiomxq
難過	4466	hfoz hoiyfouoz
刷牙	4465	rmnfj
週一	4465	ufzi ufozi
半個	4465	vhyo vhyoto
強迫	4464	sggjbz sgogjbz
直線	4464	tuigmk tueigmjbk
多少人	4463	aamjy
去除	4462	fgpym fgpyim
評級	4462	iotgmx iovtgmjx
使用者	4462	yoxuhfjb
談不上	4461	ioyjqjii iovyyjqjii
編號	4460	gmhosn gmruhosrn
難點	4460	hfvo hoiyfvfmto
酒吧	4460	whiol whiodl
胖子	4459	dvhpi
反感	4459	rxrw rxroxqw
熟知	4458	iomyko iopamyko
平靜	4457	ivtfdj ivtfdwej
非常大的	4457	jeewumiyja jeewuomiyja jeewuomiyjba
玉米	4456	eqvtr eqvtjr
資本主義	4456	isvtjiqeveq isydvtjriqevejkq
包容	4456	szquo szquvyo
誰是	4454	iofby ioyifby ioyifbfy
近代	4453	rtzyxq
老年人	4452	fjcycjy
寫着	4450	qumvei quffmvejdi
分紅	4450	vpgmi
諮詢師	4449	iooiobjbm ioisoiosbjbm
一小時	4448	imba imbfa
集成	4448	yitrq yiftrq yiftrcxq
強力	4447	sggcj sgogcj
鐵路	4447	yfqoto yfvfqotlxo
入行	4446	jqjj jqjyij
異形	4446	otvihe othvihe
點了	4446	vop vfmtop
深深	4444	wutwut wuvtwuvt
有何	4444	xdyoj
是一位	4443	byiyiv bfyiyiv
前途	4443	vdnyiz vdnyimz
人多	4443	yaa
那我就	4442	cpjkqiq cijpjkxqiomxq
基本面	4441	heftjijoi hevftjrijoni
氧氣	4440	aqfaqt aqvfaqvt
好啊	4440	liopj liopoj ljpiopoj
史料	4440	oxvtt oxvtit
這些都	4439	iztlifp iztlcifp ioztlcifjbp
讓別人	4438	iokosny ioiokosny
在這樣的	4438	xfiztkja xfioztveqkjba
就只有	4437	iqovxd iomxqovxd
如有	4437	ljoxd
扣除	4436	kopym kopyim
長達	4435	fikfvz fikfvfz
出頭	4435	uwiov uwiovjv
每一個人	4434	yoiiyoy yoiiyotoy
姐妹	4433	ljeljr ljueljhjr
手腕	4432	jijdqz jijdquaz
必然是	4431	wjdmby wjdkqmbfy
沒那麼	4431	wxcprg wsxcijprttg
一所	4430	irrt
過高	4430	ozioo oziouo ouoziouo
它在	4430	qucxf
在過去	4430	xfozfg xfouozfg
沒見過	4429	wxdjloz wsxdjlouoz
跳躍	4428	otkotf otljkotljf
深夜	4428	wutiyr wuvtiyar
小明	4427	mbd
不談	4426	jqioy jqiovyy
不買	4426	jqmdv
配樂	4425	ihzjbt ihizjbggt
收到了	4425	nxgnp nxgfnp
報表	4424	fvxfjk fvfpxfjk
能給	4424	gcgmo gcgmao gdccgmao
侮辱	4422	yyiria yyoirika
談論	4421	ioyioh iovyyioauh
做出來的	4421	yxuwtyyja ytoxuwtyyjba
列舉	4420	janfsh janfsfvh
吵架	4420	omjcjt omjcjot
是否能	4418	byjqogc bfyjqogdcc
莫名其妙	4418	hbkaohevljj hbkaohevljmj
平凡	4418	ivtnq
風控	4418	njgkqi njogkquvi
顯著	4417	bgvhb bggmvhb bggmvhfjb
老鼠	4415	fjcfel fjcfelil
告訴大家	4414	jfoiofiyqk jfoiorfiyqk jfoiorfiyqujk
省錢	4413	mjiyfq mjdiyfvxq
美式	4412	vekiiq
作曲家	4412	ykiuhqk ykiuhqujk
都快	4411	fpmcy fjbpmcy
一杯	4411	itjq
用藥	4411	uhhjt uhhjbgt
近日	4408	rtzb
全職	4408	yeneq yeneivq
僅供參考	4407	yhfyhvggefjs yhofyhvgggyefjs
飽滿	4406	aezwhy aegszwhmyy
掛鉤	4406	kfqyfo kffqyfvso
好朋友	4403	liddxx ljpiddxx
婦女	4403	ljmlj ljeumlj
藉口	4402	hibo hithbo
借口	4402	yhbo
一身	4401	ijnj ijnej
我們學校	4401	jkqyppfitix jkqyppfitivx jkxqyppfxxfitivx
身影	4401	jnjbie jnejbiome
後世	4401	jxhl jygxhl
某些人	4400	hittliy hittlciy
自我介紹	4400	jdijkqyngmo jdijkqyngmpo jdijkxqyngmpo
上級	4399	jiigmx jiigmjx
技術和	4399	ktxjyjjto ktxjytqjjto
口音	4399	oivb
實操	4399	qvkot qvkooot quotvkooot
儀器	4399	yvqooo yvejqookqo
倉庫	4398	arorbt
這才	4398	iztj ioztj
是一家	4397	byiqk bfyiqujk
總結了	4397	gmwgmop gmjowgmfop
再後來	4396	iufjxtyy iufjygxtyy
發給	4395	axgmo axgmao ajqsxgmao
專題	4395	ibabfv ibgabfyjv
倒閉	4395	ygnppj ygfnpptj
一幕	4392	ihbm ihbkm
簽訂	4391	aayioj aaaoyioj
自然的	4391	jdidmja jdidkqmjba
低端	4391	ycqivm ycxqivwjm
生死	4390	jhijac
招人	4390	kpoy
必不可少	4390	wjjqiojmj
輕微	4387	ibijyx ibtlijywnx
詞語	4387	iooioo iocoiodo
威力	4385	rrqcj rrjxqcj
精確	4384	vtdjof vtfdjouyf
對戰	4382	naooq naoobtq nvveaoobtq
我先	4381	jkqjfl jkqjfjl jkxqjfjl
一輪	4380	iibh iibtah
容器	4380	quoooo quvyoookqo
原作	4379	rjmyki rjbmyki
賓館	4378	quvaeb qumdvaegqb
帶了	4378	xhmp xhlump
把他們	4377	kdlylypp kdlyplypp
好好的	4376	lilija ljpiljpijba
可以用來	4375	iojlqyuhtyy
有價值的	4375	xdyhvytija xdyhdvytueija xdyhdvytueijba
最後還是	4374	bnxjxmzby bnexjxmzby bnexjygxmiojzbfy
鑒定	4373	ckvquy ckamvqufy
安全的	4373	qujyeja quljyeja quljyejba
鑑定	4373	yfiquy yfvciqufy
學弟學妹	4372	fivsjfiljr fivsjfiljhjr fxxfivsjfxxfiljhjr
中國市場	4372	qoqqmfbj qoqqmfbsj qooxqqmfbsj
死者	4371	jacfjb
你是不是	4371	ymbyjqby ysmbfyjqbfy
套餐	4370	kfgtak kfigtaxak
那次	4369	cpisy cijpisy
器材	4369	ooottj ookqottj
降低了	4368	pxhycqp pxhycxqp
能接受	4367	gckijwux gckivljwux gdcckivljwux
地域	4366	fplfoq fplfoxq
一同	4365	iuo
在自己	4365	xfjdiz
奇怪的	4364	kojmxfja kojmxfjba
度過	4363	rhxoz rhxouoz
情人	4362	mfdy
年間	4361	ycjppb
全網	4361	yegml yegmuvl
寢室	4360	quxquf qukexqugf
臥室	4359	ckyquf ckyqugf
納稅人	4359	gmyjtly gmuyjtvoly
我做	4359	jkqyx jkxqytox
親愛	4358	ivlwux ivtdlwuwx
租房	4358	jteris jtueris
職業規劃	4358	neqnvriylefn neivqnvvhriydjlefotn
等我	4357	aaajkq aafajkq aafajkxq
秒殺	4356	jtjxtx jtmjxtnx
大牌	4355	iykjt iykjbjt
神仙	4355	qmjyw qmbjyw
房東	4355	ristb
光學	4355	wjlfi wjlfxxfi
剎車	4353	xtnibt xtqnibt
日常生活	4352	bwumjhiwjo bwuomjhiwjto
最喜歡的	4351	bnxfoohoyja bnexfovohooyyja bnexfovohooyyjba
老牌	4351	fjckjt fjckjbjt
遊戲機	4351	iszroqtgq isypzrovxqtggjq
兩側	4351	myyydn myyydvn
寫完	4351	qumqul quffmquijl
全年	4351	yeycj
二維碼	4350	iigmfjom iigmyifjoshm
在他們	4347	xfylypp xfyplypp
發貨	4346	axycv axycdv ajqsxycdv
一分鐘	4346	ivpyff ivpyfvif
柔軟	4346	pptiby ppjtibtsy
賽博朋克	4346	quvtdaddtol quhvvtdqaddtojl
善於	4346	vfoisq vfvoisaq
幾百	4345	gqijb ggjqqijb
惡魔	4345	ihwrtg ihwrttjg
訂閱	4345	iojppl iojppvol
走過	4344	ftyoz ftyouoz
認真的	4342	iowtuvja iopqwtuevja iopqwtuevjba
電氣	4342	milaqt miiblaqvt
聽課	4342	newiot neetwiobt
家鄉	4342	qkgqp qkgqegp qujkgqegp
地理位置	4341	fplebfyivmti fplebfyivmtuei
誤差	4341	iokvei iooskveji
兩張	4341	myysfk myysfik
下場	4340	ffbj ffbsj
看懂	4339	jimhf jimhjbf jijdimhjbf
早早	4338	btbt
很多年	4338	jkaaycj jyekaaycj
出席	4337	uwrhm
可以達到	4336	iojlqyfvzgn iojlqyfvfzgn iojlqyfvfzgfn
週六	4336	ufzijq ufozijq
捲子	4335	kvzpi kviyzpi
卷子	4335	vizpi viyzpi
幾分鐘	4334	gqvpyff gqvpyfvif ggjqqvpyfvif
相信我	4334	tdiyiojkq tdiyiojkxq
雞湯	4333	wgfwbj wgkyfwbsj
助手	4332	uejjij uecjjij
口罩	4330	omft omfbt
星星	4329	bjfbjf
都無法	4328	fpymmwfg fjbpymmwfg
街頭	4328	jyjiov jyffjiovjv
團體	4328	obaouv obgaouduv
納入	4326	gmyjq gmuyjq
茶葉	4325	hythht hythhlt
活的	4325	wjoja wjtoja wjtojba
海軍	4325	wyiubt wyoiubt
堅定	4324	ckfquy ckxfqufy
極強	4324	tsisgg tsoxisgog
保安	4324	yotquj yotqulj
複合	4323	qkxao qkybxao
好評	4320	liiot liiovt ljpiiovt
又開始	4320	xpphljo xpphljgo
他就是	4320	yliqby ypliomxqbfy
幾張	4319	gqsfk gqsfik ggjqqsfik
精美	4319	vtdvek vtfdvek
猶太人	4318	xjiiay xjvhiiay
旗艦	4317	isvjui isyhvjuici
國民	4317	oqclx ooxqclx
有資格	4317	xdisvtxo xdisydvtxo
王朝	4316	etbd etbtd
看得	4316	jijya jijdijyba
諸侯	4315	iobyck iofjbycyk
電路	4315	miloto miiblotlxo
每次都	4315	yoiisyfp yoiisyfjbp
上面說	4314	jiijoiiol jiijoniiol jiijoniiovol
儲備	4314	yibyhh yiofbyhjuh
貝多芬	4310	dvaahvp
越來越少	4308	ftqtyyftqmj ftycqtyyftycqmj
叫我	4308	onjkq onjkxq
十個	4305	tyo tyoto
忘記了	4304	ilwiozp
打完	4304	kjqul kjquijl
頭痛	4303	iovrph iovjvrpuh
這兩天	4303	izmyyixr iozmyyixr
那幾個	4301	cpgqyo cijpggjqqyoto
賣點	4301	fmvvo fmdvvo fmdvvfmto
這門課	4301	izppiot izppiobt iozppiobt
跨越	4300	otsftq otlksftycq
本週	4299	tjiufz tjriufoz
美人	4298	veky
我寫	4297	jkqqum jkqquffm jkxqquffm
加分	4296	cjovp
層級	4296	rvbgmx rvvbgmjx
同期	4296	uohed uohevd
培訓班	4295	fioionene fivoiojnene
這個功能	4295	izyoicjgc iozyotoicjgdcc
死於	4295	jacisq jacisaq
終端	4294	gmiivm gmxiivwjm
一圈	4294	iovz ioviyz
端口	4294	ivmo ivwjmo
固然	4294	otodm otodkqm
賺的	4293	dvvja dvvevja dvvevjba
文書	4292	ixefb
欄目	4292	tpvdi tpptvdi
五月天	4291	iddixr
街道	4291	jyjvz jyffjvz jyffjvjdz
可以嘗試	4289	iojlqywubioq iojlqywuocbioiq
說下	4289	iolf iovolf
遭受	4288	iuzwux iuhbzwux
王國	4287	eoq eooxq
了他	4287	pyl pypl
平庸	4284	ivtreh ivtreuh
殘忍	4283	jaqpjw jaxqqpjw
長得	4282	fikjya fikjyba
復仇	4282	jyxyjz jyybxyjz
發達國家	4281	axfvzoqqk axfvfzoqqk ajqsxfvfzooxqqujk
總量	4281	gmwbbf gmjowbbf
百年	4281	ijbycj
十萬	4281	thbg thbug
他已經	4281	ylclgmi ylclgmlli yplclgmlli
酸奶	4279	ihxljp ihigxljp
列出	4279	januw
不良	4279	jqqek
雖然沒有	4279	oofdmwxxd oogyfdmwxxd oogyfdkqmwsxxd
家伙	4279	qkyvy qujkyvy
剛畢業	4279	uvnbhhnvr uvwnbhhnvvhr
並將	4278	vnvka vnvkda
銷售額	4278	yfdyioquv yfvwdyifoquxov
是呀	4277	byofj bfyofj
導出	4277	vjauw vjdzauw
幫他	4276	fimyl fiajmyl fiajmypl
車身	4276	ibtjnj ibtjnej
背部	4274	fcdivp fcdivop
還說	4274	mziol miojziovol
球場	4273	ekqfbj ekqfbsj
非得	4273	jeejya jeejyba
發佈會	4272	axyxmab ajqsxyxmavb
本來是	4272	tjityyby tjrityyby tjrityybfy
言語	4270	ioioo ioiodo
大媽	4270	iyljm iyljshm
晚期	4269	bslhed bsojlhevd
自然會	4268	jdidmab jdidkqmavb
一兩個	4267	imyyyo imyyyoto
空間站	4267	quippbivo quvippbivto
你不是	4267	ymjqby ysmjqbfy
刑法	4266	ihnwfg
間隔	4266	ppbpot ppbpouvt
驗證碼	4266	shyiovjom shmayioajvjoshm
相差	4266	tdivei tdiveji
星際	4263	bjfpdm bjfpdzim
柔和	4263	pptjto ppjtjto
額度	4263	quvrhx quxovrhx
資本市場	4262	isvtjiqmfbj isydvtjriqmfbsj
中國隊	4262	qoqpvk qoqpvjk qooxqpvjk
喬治	4261	jkowgo jkouowgo
怎麼選	4261	kiwrgzzz kiwrgzzhvz kiwrttgzzhvz
無人機	4261	ymmytgq ymmytggjq
賠付	4260	dvoya dvivoya
三個人	4260	iiiyoy iiiyotoy
贏得	4260	ilajya ilodajya ilodajyba
這樣一來	4260	iztkityy ioztveqkityy
便捷	4260	ybxkey ybxkety
賺了	4259	dvvp dvvevp
村民	4259	taclx
痛點	4258	rphvo rpuhvo rpuhvfmto
分泌	4258	vpwwj
留下來	4257	gptftyy gpotftyy
一次次	4257	iisyisy
龐大	4257	rieiy rivdeiy
去學	4255	fgfi fgfxxfi
甚至在	4254	helgfxf hevlgfxf
老家	4253	fjcqk fjcqujk
有關規定	4252	xdpphiylquy xdppgghiydjlqufy
滅亡	4251	wrqil wrvyqil
字的	4250	quija qupija qupijba
韓信	4250	tbhyio tbtdhyio
倆人	4250	ymyy ymyyy
腳步	4249	dvptlm dvyoptlm
二本	4249	iitji iitjri
離譜	4249	ixfiob ixuufiovnb
標的	4249	thmja themja themjba
外語	4247	aqioo aqiodo
英寸	4247	huktq
但對	4247	ybina ybinvvea
得不到	4246	jyajqgn jybajqgfn
八卦	4246	vffq
不在乎	4245	jqxfjvt
不住	4245	jqyqe
數碼	4244	bqxjom bqljxjoshm
誤導	4244	iokvja iooskvjdza
跟進	4243	otkyiz otlekyifz
不比	4242	jqcc
兩個字	4242	myyyoqui myyyoqupi myyyotoqupi
陸遜	4242	pffpjz pfvfpjgmz
也應該	4242	plrywioy plryyiwioigy
打壓	4241	kjrbf kjrbdkf
站的	4239	ivoja ivtoja ivtojba
新冠	4239	ivtuia ivtrtuijla
被他	4239	qkxyl qkrxyl qkrxypl
腦洞	4238	dlxwuo dlllxwuo
即是	4238	egpby egpbfy
限定	4237	pekquy pekqufy
絕對不會	4236	gmlnajqab gmpdlnajqab gmpdlnvveajqavb
請你	4236	iodym iofdym iofdysm
我也會	4236	jkqplab jkxqplavb
哭了	4236	ooqp ookqp
贅述	4235	fivtqz fisxvtqz
什麼東西	4235	ytrgtbihi ytrttgtbihi
火爆	4234	vyvyk vyvybhk
輝煌	4234	wjtvye wjlutvyjbe
不合適	4233	jqaoivz jqaoivutz
節省	4232	aapmji aaegpmjdi
想買	4231	tdwmdv
共識	4230	hvioq hvioivq
不上	4230	jqjii
天堂	4229	ixrwuf ixrwuof
束縛	4228	togma togmdqa
長安	4227	fikquj fikqulj
如果只是	4226	ljobtovby ljobtovbfy
市場份額	4226	qmfbjyvpquv qmfbsjyvpquxov
缺點是	4226	ywyvoby ywcyvoby ywcyvfmtobfy
加成	4225	cjorq cjorcxq
可選	4225	iojzzz iojzzhvz
三是	4224	iiiby iiibfy
是啥	4223	byoyo byoyfo bfyoyfo
花園	4223	hycofk hycofojk
幹啥	4223	tbfoyo tbtyfoyfo
占領	4223	toapv toapjdv
沒得	4223	wxjya wsxjyba
佔領	4223	ytoapv ytoapjdv
振動	4221	krkjbj krikjbfcj
候選人	4220	nkzzzy nkzzhvzy ncykzzhvzy
喪失	4220	tokjiy tookjiy
美劇	4219	vekrjn vekrjkn
忍受	4218	pjwwux
在這方面	4218	xfizisjoi xfizisjoni xfiozisjoni
審計	4216	qutiot qujvtiot
胳膊	4215	dxodda dxoddqa
績效	4215	gmvivx gmfdvivxx
後天	4215	jxixr jygxixr
做的是	4215	yxjaby ytoxjbabfy
也叫	4214	plon
對立	4213	naiv nvveaiv
聯通	4213	nehpuz negghpuhz
匈奴	4213	sxuljx
調研	4211	ioojoh ioufojoh
牆上	4211	kyojii kyyfojii
類比	4209	vtvcc vtkqvcc
上世紀	4207	jiihlgmz
都有哪些	4206	fpxdoptli fpxdoptlci fjbpxdocijptlci
大火	4206	iyvy
曲目	4206	uhdi
正經	4204	flgmi flgmlli
罰款	4204	minfiy mionfimsy
你看看	4204	ymjiji ysmjijdijijdi
愛上	4203	wuxjii wuwxjii
開門	4202	pphpp
激素	4202	wjxfgm wjbixfgm
就是了	4201	iqbyp iomxqbfyp
爆款	4201	vykfiy vybhkfimsy
發病	4200	axruy ajqsxruy
一對	4200	ina invvea
衆籌	4199	jmkaaa jmyjkaafja
呈現出	4198	oeedluw oeedjluw
開戶	4198	pphqr
緊急	4197	ckmsew ckxgmsew
長久	4196	fikjjr
排斥	4196	keertq
經濟發展	4195	gmiwidaxrhk gmlliwiypdaxrhk gmlliwiypdajqsxrhk
處理的	4195	rxnebfja rxnebfjba
武術	4194	itqjyj itlqjytqj
我是一個	4194	jkqbyiyo jkxqbfyiyoto
那會	4193	cpab cijpavb
富人	4193	quty quooty
爭奪	4193	wejkya wejkyifa
創業公司	4191	arnnvrvgco aronnvvhrvgco
轉移到	4191	ibajtagn ibtbajtaagn ibtbajtaagfn
打不過	4191	kjjqoz kjjqouoz
直徑	4191	tuijyi tueijylli
愛奇藝	4191	wuxkojhfg wuwxkojhfvfg
笑容	4189	aayquo aaiyquvyo
我認識	4188	jkqiowioq jkqiopqwioivq jkxqiopqwioivq
假期	4188	yrxhed yricxhevd
大膽	4186	iydso iydsrvo
所需要的	4186	rrtmmijja rrtmiijmihljjba
緩存	4183	gmxxpi gmwixxpi
聚會	4183	nekab nexykab nexykavb
金字塔	4183	yfvquifho yfvqupifhao
外表	4182	aqfjk
那個年代	4182	cpyoycjyxq cijpyotoycjyxq
綜上所述	4182	gmmjiirrttqz gmqumjiirrttqz
個股	4182	yodnx yotodnx
簡單說	4181	aabootiol aappboobtiol aappboobtiovol
只能用	4180	ovgcuh ovgdccuh
過大	4179	oziy ouoziy
開關	4179	pphpph pphppggh
用起來	4178	uhfztyy uhftyztyy
不滿意	4177	jqwhyivw jqwhmyyivbw
銀河	4177	yfkwoj yfvekwoj
多萬	4176	aahbg aahbug
寫法	4175	qumwfg quffmwfg
模糊	4175	thkvtd thbkvttod
代表作	4174	yxqfjkyki
紅酒	4173	gmiwhi
自定義	4173	jdiquyveq jdiqufyvejkq
適當的	4172	ivzwutja ivutzwuootja ivutzwuootjba
需要一個	4171	mmijiyo miijmihljiyoto
書上	4170	efbjii
久了	4170	jjrp
接納	4170	kijgmy kivljgmuy
緊接着	4169	ckmkijvei ckxgmkivljvejdi
往後	4169	jyejx jyqejx jyqejygx
鎖定	4169	yfvquy yfvwvqufy
不要再	4168	jqijiuf jqihljiuf
標準化	4168	thmwytyc themwyiftyc
兌換	4168	volksk vojlksuvk
轉讓	4167	ibaiok ibtbaioiok
來形容	4167	tyyihequo tyyihequvyo
力氣	4166	cjaqt cjaqvt
隱私	4166	pwwjtg pwiewjtg
全體	4166	yeouv yeouduv
經銷商	4165	gmiyfdivo gmlliyfvwdivuvo
黃河	4164	huvwoj hufvwoj
大國	4163	iyoq iyooxq
其實都是	4162	hevqvfpby hevquotvfjbpbfy
不利於	4161	jqjtnisq jqjtnisaq
空白	4161	quijb quvijb
極少	4159	tsimj tsoximj
企業家	4159	ytlnvrqk ytlnvvhrqk ytlnvvhrqujk
比起來	4158	ccfztyy ccftyztyy
都應該	4158	fprywioy fjbpryyiwioigy
越來越大	4158	ftqtyyftqiy ftycqtyyftycqiy
轉到	4158	ibagn ibtbagn ibtbagfn
武士	4158	itqiji itlqiji
性價比高	4158	mjfyhvccioo mjfyhdvcciouo
近乎	4157	rtzjvt
運轉	4157	ubziba ubtzibtba
是多麼	4156	byaarg bfyaarttg
西部	4156	ihiivp ihiivop
成像	4156	rqysk rqysojk rcxqysojk
金牌	4156	yfvkjt yfvkjbjt
和她	4155	jtoll jtoljpl
都不錯	4154	fpjqyfb fpjqyfvhb fjbpjqyfvhb
我問	4154	jkqppo jkxqppo
歐盟	4153	coybdi coooybdmi
只剩	4153	ovjtn ovjtfcn
愛人	4153	wuxy wuwxy
應聘	4152	rywnes rywneufs ryyiwneufs
精選	4152	vtdzzz vtfdzzhvz
前臺	4151	vdnfof vdnfougf
就來	4150	iqtyy iomxqtyy
網文	4149	gmlix gmuvlix
賣給	4148	fmvgmo fmdvgmao
站着	4148	ivovei ivtovejdi
十幾	4148	tgq tggjqq
可想而知	4147	iojtdwjmyko
託福	4146	iofqmt iojfqmiot
這個網站	4146	izyogmlivo izyogmuvlivto iozyotogmuvlivto
托福	4146	kjfqmt kjfqmiot
至少在	4145	gfmjxf
不肯	4145	jqtld
唱片	4144	obbjtj
媳婦	4143	ljwljm ljjdwljeum
回事	4143	ooioj ooioej
沒怎麼	4143	wxkiwrg wsxkiwrttg
門票	4142	ppihm ppihem
遠超	4141	fozfto fojkzftypo
二十年	4141	iitycj
總裁	4139	gmwfiq gmjowfijkq
寫字	4139	qumqui quffmqupi
比較高的	4138	ccibxiooja ccibtixiouoja ccibtixiouojba
就這	4138	iqiz iomxqioz
變了	4137	ioxp iogmxp
採樣	4137	kwttk kwttveqk
包裹	4137	szibk szibtjk
用它	4137	uhquc
建成	4134	ehzrq ehzrcxq
珍惜	4134	eyemhb
有序	4134	xdrpp
外地	4133	aqfpl
聲稱	4133	frejtf frnxejtwuf
證券公司	4132	iovvipvgco ioajvviypvgco
什麼都	4132	ytrgfp ytrttgfjbp
我們把	4131	jkqyppkdl jkxqyppkdl
總決賽	4130	gmwwcyquv gmjowwcyquhvv
可行	4130	iojjj iojjyij
我心裏	4130	jkqjlqik jkqjlqqik jkxqjlqqibfjk
幾千	4129	gqjt ggjqqjt
題外話	4126	bfvaqioo bfyjvaqioo bfyjvaqiojto
進度	4126	yizrhx yifzrhx
壁紙	4125	rofgmx roivfgmcx
算不算	4124	aahjqaah aadhjqaadh
讀音	4124	iovivb iofmvivb
應該有	4124	rywioyxd ryyiwioigyxd
即使你	4122	egpyoxym egpyoxysm
這在	4122	izxf iozxf
開場	4122	pphfbj pphfbsj
場所	4121	fbjrrt fbsjrrt
永久	4121	qkjjr
弱點	4121	siivo sisivo sisivfmto
的博客	4120	jatdaquo jatdqaquxo jbatdqaquxo
這個話題	4119	izyoioobfv izyoioobfyjv iozyotoiojtobfyjv
解決的	4119	suhwcyja suhphwcyja suhphwcyjba
景區	4118	bimcoo biomcooo
加密	4118	cjoquw cjoquwjw
考研	4118	fjsjoh
意味	4118	ivwohq ivbwohjq
腹部	4116	dyxivp dybxivop
中等	4115	qaaa qaafa
它可以	4114	quciojlqy
第一名	4113	aajiao aasjiao
騎兵	4113	shjjkv shmkjjkv
高質量的	4112	ioortvbbfja iouortrtvbbfja iouortrtvbbfjba
燒烤	4112	vylvys vyfflvyfjs
會更	4111	abibx avbibx
老爺子	4110	fjcvxppi fjcvxneppi
愉快	4110	manmcy madnmcy
過多的	4110	ozaaja ouozaajba
開個	4110	pphyo pphyoto
中共	4110	qhv
對人	4109	nay nvveay
脾氣	4108	djtaqt djbjtaqvt
北京的	4108	fciomja fciomjba
下手	4108	fjij
高音	4108	iooivb iouoivb
央視	4108	ukqml ukqmdjl
